interaction_id	effect	arrow	genesymbol_source	uniprot_source	genesymbol_target	uniprot_target	C-type lectin receptor signaling pathway	Cytokine-cytokine receptor interaction	Cytosolic DNA-sensing pathway	Estrogen signaling pathway	IL-17 signaling pathway	NF-kappa B signaling pathway	NOD-like receptor signaling pathway	Osteoclast differentiation	Regulation of actin cytoskeleton	RIG-I-like receptor signaling pathway	T cell receptor signaling pathway	Th17 cell differentiation	TNF signaling pathway	Toll-like receptor signaling pathway	Viral protein interaction with cytokine and cytokine receptor	sum.interaction	pathway.interaction	reference	CyFi_MAP_interactions	status	expression_dorothea
O15530_Q9Y243_activation	activation	-->	PDPK1	O15530	AKT3	Q9Y243	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	KEGG	FALSE	NA	FALSE
O15553_O43586_binding/association	binding/association	---	MEFV	O15553	PSTPIP1	O43586	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
O15553_Q9ULZ3_inhibition	inhibition	--|	MEFV	O15553	PYCARD	Q9ULZ3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
O43318_O14733_activation	activation	-->	MAP3K7	O43318	MAP2K7	O14733	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	3	NA	KEGG	FALSE	NA	FALSE
O43318_O14920_activation	activation	-->	MAP3K7	O43318	IKBKB	O14920	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	4	NA	KEGG	FALSE	NA	FALSE
O43318_O15111_activation	activation	-->	MAP3K7	O43318	CHUK	O15111	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
O43318_P46734_activation	activation	-->	MAP3K7	O43318	MAP2K3	P46734	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
O43318_P52564_activation	activation	-->	MAP3K7	O43318	MAP2K6	P52564	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	KEGG	FALSE	NA	FALSE
O43318_Q02750_activation	activation	-->	MAP3K7	O43318	MAP2K1	Q02750	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	KEGG	FALSE	NA	FALSE
O43353_Q13114_activation	activation	-->	RIPK2	O43353	TRAF3	Q13114	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
O43353_Q15750_activation	activation	-->	RIPK2	O43353	TAB1	Q15750	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
O43353_Q9Y6K9_activation	activation	-->	RIPK2	O43353	IKBKG	Q9Y6K9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
O43561_O75791_binding/association	binding/association	---	LAT	O43561	GRAP2	O75791	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	KEGG	FALSE	NA	FALSE
O43561_P19174_activation	activation	-->	LAT	O43561	PLCG1	P19174	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	NA	KEGG	FALSE	NA	FALSE
O43734_Q9Y4K3_activation	activation	-->	TRAF3IP2	O43734	TRAF6	Q9Y4K3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	IL-17 signaling pathway	KEGG	FALSE	NA	FALSE
O43914_P43405_binding/association	binding/association	---	TYROBP	O43914	SYK	P43405	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	KEGG	FALSE	NA	FALSE
O60602_Q99836_activation	activation	-->	TLR5	O60602	MYD88	Q99836	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
O60603_P63000_activation	activation	-->	TLR2	O60603	RAC1	P63000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
O60603_Q99836_activation	activation	-->	TLR2	O60603	MYD88	Q99836	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
O60610_NA_activation	activation	-->	DIAPH1	O60610	PFN	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
O75676_O43889_activation	activation	-->	RPS6KA4	O75676	CREB3	O43889	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	KEGG	FALSE	NA	FALSE
O75791_Q13094_binding/association	binding/association	---	GRAP2	O75791	LCP2	Q13094	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	KEGG	FALSE	NA	FALSE
O75914_P53667_activation	activation	-->	PAK3	O75914	LIMK1	P53667	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
O75914_Q14155_phosphorylation	phosphorylation	+p	PAK3	O75914	ARHGEF7	Q14155	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
O75914_Q9NZN5_inhibition	inhibition	--|	PAK3	O75914	ARHGEF12	Q9NZN5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
O94817_O95166_activation	activation	-->	ATG12	O94817	GABARAP	O95166	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
O95150_O94827_activation	activation	-->	TNFSF15	O95150	PLEKHG5	O94827	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	KEGG	FALSE	NA	FALSE
O95267_P01112_activation	activation	-->	RASGRP1	O95267	HRAS	P01112	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	KEGG	FALSE	NA	FALSE
O95429_P19438_inhibition	inhibition	--|	BAG4	O95429	TNFRSF1A	P19438	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	KEGG	FALSE	NA	FALSE
O95786_Q12933_activation	activation	-->	RIGI	O95786	TRAF2	Q12933	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	NF-kappa B signaling pathway	KEGG	FALSE	NA	FALSE
O95786_Q7Z434_activation	activation	-->	RIGI	O95786	MAVS	Q7Z434	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	NA	KEGG	FALSE	NA	FALSE
O95996_Q96N96_activation	activation	-->	APC2	O95996	SPATA13	Q96N96	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
O95999_O43318_activation	activation	-->	BCL10	O95999	MAP3K7	O43318	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	KEGG	FALSE	NA	FALSE
O95999_Q9UDY8_binding/association	binding/association	---	BCL10	O95999	MALT1	Q9UDY8	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	NA	KEGG	FALSE	NA	FALSE
O95999_Q9Y6K9_activation	activation	-->	BCL10	O95999	IKBKG	Q9Y6K9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	KEGG	FALSE	NA	FALSE
P00533_P42336_activation	activation	-->	EGFR	P00533	PIK3CA	P42336	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	KEGG	FALSE	NA	FALSE
P00533_P98077_activation	activation	-->	EGFR	P00533	SHC2	P98077	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	KEGG	FALSE	NA	FALSE
P00533_Q07889_activation	activation	-->	EGFR	P00533	SOS1	Q07889	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
P00734_P25116_activation	activation	-->	F2	P00734	F2R	P25116	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
P01042_P11229_activation	activation	-->	KNG1	P01042	CHRM1	P11229	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
P01112_P04049_activation	activation	-->	HRAS	P01112	RAF1	P04049	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	NA	KEGG	FALSE	NA	FALSE
P01116_P04049_activation	activation	-->	KRAS	P01116	RAF1	P04049	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	KEGG	FALSE	NA	FALSE
P01133_P00533_activation	activation	-->	EGF	P01133	EGFR	P00533	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
P01137_P36897_activation	activation	-->	TGFB1	P01137	TGFBR1	P36897	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	NA	KEGG	FALSE	NA	FALSE
P01189_P35372_activation	activation	-->	POMC	P01189	OPRM1	P35372	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	KEGG	FALSE	NA	FALSE
P01236_P16471_activation	activation	-->	PRL	P01236	PRLR	P16471	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	KEGG	FALSE	NA	FALSE
P01308_P00533_activation	activation	-->	INS	P01308	EGFR	P00533	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
P01374_P19438_activation	activation	-->	LTA	P01374	TNFRSF1A	P19438	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	NA	KEGG	FALSE	NA	FALSE
P01374_P20333_activation	activation	-->	LTA	P01374	TNFRSF1B	P20333	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	3	NA	KEGG	FALSE	NA	FALSE
P01375_P19438_activation	activation	-->	TNF	P01375	TNFRSF1A	P19438	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	5	NA	KEGG	FALSE	NA	FALSE
P01375_P20333_activation	activation	-->	TNF	P01375	TNFRSF1B	P20333	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	NA	KEGG	FALSE	NA	FALSE
P01562_P17181_activation	activation	-->	IFNA1	P01562	IFNAR1	P17181	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
P01574_P17181_activation	activation	-->	IFNB1	P01574	IFNAR1	P17181	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	NA	KEGG	FALSE	NA	FALSE
P01579_P15260_activation	activation	-->	IFNG	P01579	IFNGR1	P15260	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	NA	KEGG	FALSE	NA	FALSE
P01583_P14778_activation	activation	-->	IL1A	P01583	IL1R1	P14778	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	KEGG	FALSE	NA	FALSE
P01584_P14778_activation	activation	-->	IL1B	P01584	IL1R1	P14778	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	NA	KEGG	FALSE	NA	FALSE
P01588_P19235_activation	activation	-->	EPO	P01588	EPOR	P19235	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	KEGG	FALSE	NA	FALSE
P01589_P42229_activation	activation	-->	IL2RA	P01589	STAT5A	P42229	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	KEGG	FALSE	NA	FALSE
P01730_P06239_binding/association	binding/association	---	CD4	P01730	LCK	P06239	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	NA	KEGG	FALSE	NA	FALSE
P02751_Q9UKX5_activation	activation	-->	FN1	P02751	ITGA11	Q9UKX5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
P03372_P01100_binding/association	binding/association	---	ESR1	P03372	FOS	P01100	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	KEGG	FALSE	NA	FALSE
P04049_Q02750_activation	activation	-->	RAF1	P04049	MAP2K1	Q02750	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	NA	KEGG	FALSE	NA	FALSE
P04049_Q04206_activation	activation	-->	RAF1	P04049	RELA	Q04206	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	KEGG	FALSE	NA	FALSE
P04049_Q8IVT5_binding/association	binding/association	---	RAF1	P04049	KSR1	Q8IVT5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	KEGG	FALSE	NA	FALSE
P04049_Q9H4B4_binding/association	binding/association	---	RAF1	P04049	PLK3	Q9H4B4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	KEGG	FALSE	NA	FALSE
P04839_P13498_binding/association	binding/association	---	CYBB	P04839	CYBA	P13498	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
P05112_P31785_activation	activation	-->	IL4	P05112	IL2RG	P31785	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	KEGG	FALSE	NA	FALSE
P05161_O95786_binding/association	binding/association	---	ISG15	P05161	RIGI	O95786	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
P05231_P08887_activation	activation	-->	IL6	P05231	IL6R	P08887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Viral protein interaction with cytokine and cytokine receptor	KEGG	FALSE	NA	FALSE
P05771_Q9BWT7_activation	activation	-->	PRKCB	P05771	CARD10	Q9BWT7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	NF-kappa B signaling pathway	KEGG	FALSE	NA	FALSE
P05771_Q9BXL7_activation	activation	-->	PRKCB	P05771	CARD11	Q9BXL7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	NF-kappa B signaling pathway	KEGG	FALSE	NA	FALSE
P06239_P43403_activation	activation	-->	LCK	P06239	ZAP70	P43403	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	NA	KEGG	FALSE	NA	FALSE
P06241_P06239_activation	activation	-->	FYN	P06241	LCK	P06239	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	KEGG	FALSE	NA	FALSE
P06241_P42336_activation	activation	-->	FYN	P06241	PIK3CA	P42336	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	KEGG	FALSE	NA	FALSE
P07202_P40238_activation	activation	-->	TPO	P07202	MPL	P40238	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	KEGG	FALSE	NA	FALSE
P07333_P35568_activation	activation	-->	CSF1R	P07333	IRS1	P35568	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	KEGG	FALSE	NA	FALSE
P07333_P62993_activation	activation	-->	CSF1R	P07333	GRB2	P62993	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	KEGG	FALSE	NA	FALSE
P07766_P06241_phosphorylation	phosphorylation	+p	CD3E	P07766	FYN	P06241	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	KEGG	FALSE	NA	FALSE
P07858_Q96P20_activation	activation	-->	CTSB	P07858	NLRP3	Q96P20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
P07900_O43734_binding/association	binding/association	---	HSP90AA1	P07900	TRAF3IP2	O43734	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	IL-17 signaling pathway	KEGG	FALSE	NA	FALSE
P07900_Q96P20_binding/association	binding/association	---	HSP90AA1	P07900	NLRP3	Q96P20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
P08571_O00206_activation	activation	-->	CD14	P08571	TLR4	O00206	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	NA	KEGG	FALSE	NA	FALSE
P08575_P06239_activation	activation	-->	PTPRC	P08575	LCK	P06239	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	KEGG	FALSE	NA	FALSE
P08575_P06241_activation	activation	-->	PTPRC	P08575	FYN	P06241	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	KEGG	FALSE	NA	FALSE
P08887_P40763_activation	activation	-->	IL6R	P08887	STAT3	P40763	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	KEGG	FALSE	NA	FALSE
P09603_P07333_activation	activation	-->	CSF1	P09603	CSF1R	P07333	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	3	NA	KEGG	FALSE	NA	FALSE
P09919_Q99062_activation	activation	-->	CSF3	P09919	CSF3R	Q99062	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	KEGG	FALSE	NA	FALSE
P0DML2_P10912_activation	activation	-->	CSH1	P0DML2	GHR	P10912	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	KEGG	FALSE	NA	FALSE
P10398_Q02750_phosphorylation	phosphorylation	+p	ARAF	P10398	MAP2K1	Q02750	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
P10415_Q9C000_inhibition	inhibition	--|	BCL2	P10415	NLRP1	Q9C000	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
P10451_Q92985_activation	activation	-->	SPP1	P10451	IRF7	Q92985	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
P10747_P42336_activation	activation	-->	CD28	P10747	PIK3CA	P42336	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	KEGG	FALSE	NA	FALSE
P10747_P62993_activation	activation	-->	CD28	P10747	GRB2	P62993	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	KEGG	FALSE	NA	FALSE
P11229_Q9UBI6_activation	activation	-->	CHRM1	P11229	GNG12	Q9UBI6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
P12314_P43405_binding/association	binding/association	---	FCGR1A	P12314	SYK	P43405	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	KEGG	FALSE	NA	FALSE
P12931_P01112_activation	activation	-->	SRC	P12931	HRAS	P01112	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	KEGG	FALSE	NA	FALSE
P12931_P01116_activation	activation	-->	SRC	P12931	KRAS	P01116	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	KEGG	FALSE	NA	FALSE
P12931_P04049_activation	activation	-->	SRC	P12931	RAF1	P04049	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	KEGG	FALSE	NA	FALSE
P12931_P42336_activation	activation	-->	SRC	P12931	PIK3CA	P42336	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	KEGG	FALSE	NA	FALSE
P12931_Q9NRY4_phosphorylation	phosphorylation	+p	SRC	P12931	ARHGAP35	Q9NRY4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
P14778_P51617_activation	activation	-->	IL1R1	P14778	IRAK1	P51617	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	NF-kappa B signaling pathway	KEGG	FALSE	NA	FALSE
P14778_Q9NWZ3_activation	activation	-->	IL1R1	P14778	IRAK4	Q9NWZ3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	NF-kappa B signaling pathway	KEGG	FALSE	NA	FALSE
P15260_P42224_activation	activation	-->	IFNGR1	P15260	STAT1	P42224	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	KEGG	FALSE	NA	FALSE
P15498_P63000_activation	activation	-->	VAV1	P15498	RAC1	P63000	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	KEGG	FALSE	NA	FALSE
P16333_O75914_phosphorylation	phosphorylation	+p	NCK1	P16333	PAK3	O75914	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	KEGG	FALSE	NA	FALSE
P16333_Q13094_binding/association	binding/association	---	NCK1	P16333	LCP2	Q13094	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	KEGG	FALSE	NA	FALSE
P16885_Q05655_compound - 16	compound - 16	16	PLCG2	P16885	PRKCD	Q05655	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	KEGG	FALSE	NA	FALSE
P16885_Q08209_compound - 89	compound - 89	89	PLCG2	P16885	PPP3CA	Q08209	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	KEGG	FALSE	NA	FALSE
P16885_Q14643_compound - 16	compound - 16	16	PLCG2	P16885	ITPR1	Q14643	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	KEGG	FALSE	NA	FALSE
P16885_Q16566_compound - 89	compound - 89	89	PLCG2	P16885	CAMK4	Q16566	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	KEGG	FALSE	NA	FALSE
P17181_P23458_activation	activation	-->	IFNAR1	P17181	JAK1	P23458	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	NA	KEGG	FALSE	NA	FALSE
P17181_P29597_activation	activation	-->	IFNAR1	P17181	TYK2	P29597	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	KEGG	FALSE	NA	FALSE
